game_date,release_speed,release_spin_rate,vx0,vy0,vz0,balls,strikes,zone,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,release_extension,ax,ay,az,CH,FF,KC,SL,ball,called_strike,double,field_error,field_out,home_run,single,strikeout,strikeout_looking,swinging_strike,walk
2020-10-09,83.0,2808.0,1.915427839754244,-120.85452770067484,-0.3610279710528181,0,0,4.0,-1.91,5.79,0.75,-0.68,-0.43,2.17,6.4,6.798701737053274,27.38325081030244,-38.95755321001148,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2020-10-09,91.2,1719.0,6.6132144904588905,-132.60130708723153,-2.8302135590709105,1,0,1.0,-1.94,5.45,-1.4,0.85,-0.53,2.71,6.7,-17.99069872966674,29.073545863931397,-21.75380048436729,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-10-09,98.3,2611.0,8.259594220276458,-142.86188918411614,-1.2721839225833491,0,0,11.0,-2.11,5.54,-1.19,1.45,-0.1,4.28,6.5,-18.28257995318585,34.250406813859634,-12.291254100938463,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,96.4,2491.0,7.013543498761194,-140.09914403137256,-6.539645673734645,1,1,4.0,-2.06,5.45,-1.17,1.55,-0.43,2.21,6.6,-16.983402125882908,32.635533846844474,-10.455754156639484,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-10-09,97.6,2613.0,9.26122921193657,-141.86059984022964,-0.6737872304900412,0,1,12.0,-1.93,5.58,-0.93,1.52,0.71,4.57,6.4,-14.751051622379697,34.833797381839865,-11.752910086359686,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,88.5,1637.0,6.7460339147697,-128.74825816475314,-4.200472947923001,0,0,7.0,-2.06,5.45,-1.35,0.93,-0.48,2.05,6.8,-16.427644279748627,26.461452383022344,-21.126200929038056,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,98.7,2693.0,10.413087088999118,-143.15886396155807,-6.869568926363957,2,2,12.0,-1.86,5.63,-1.03,1.56,1.08,2.42,6.6,-16.682403601806744,35.408812162845564,-9.28390994089792,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-10-09,88.6,2592.0,4.976977397718903,-129.14253484753158,-2.1205304373635894,2,2,6.0,-1.99,5.56,0.51,0.41,0.47,2.6,6.6,4.823538207937172,23.483313270249,-27.379937770245636,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,98.2,2514.0,4.185481157458196,-142.88008434862778,-2.7162331914571465,1,2,11.0,-2.09,5.37,-1.2,1.36,-1.58,3.51,6.5,-17.38995811705616,34.05466581759294,-13.142500147100828,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,90.2,2562.0,4.9657966853147935,-131.37363880242978,-0.1349482893157412,0,2,12.0,-2.04,5.56,0.32,0.6,0.22,3.63,6.6,2.665065880766125,26.54053105579828,-25.4097789368049,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,83.4,2676.0,2.151749395191296,-121.46341241393507,1.5103187500934434,0,1,1.0,-1.86,5.71,0.74,-0.63,-0.29,3.01,6.4,6.863182240712133,25.531822909017247,-38.8958356237106,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-10-09,89.1,2588.0,5.9748992986988085,-129.67966965576443,-1.0168988476076162,0,0,3.0,-2.02,5.59,0.33,0.29,0.69,2.97,6.4,2.51001712164117,26.512806040752697,-28.902123133283247,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2020-10-09,82.9,2758.0,2.531980403080347,-120.5723599211184,1.392992020910072,1,1,4.0,-2.04,5.75,0.54,-1.08,-0.47,2.55,6.4,4.610910719218163,27.47894744329025,-43.098249909478,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
