game_date,home_team,away_team,release_speed,release_spin_rate,events,zone,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,release_extension,vx0,vy0,vz0,ax,ay,az,CH,FF,KC,SL,ball,called_strike,called_strikeout,double,field_error,field_out,home_run,single,strikeout,swinging_strike,walk
2020-09-16,NYY,TOR,98.9,2530.0,called_strikeout,8,-2.11,5.47,-1.17,1.37,-0.25,2.14,6.5,7.803329669414433,-143.58593653641967,-6.780780903819361,-18.029209691699684,35.70305016141716,-11.844341476344692,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,89.8,2643.0,swinging_strike,14,-2.05,5.61,0.6,0.27,0.55,1.26,6.5,5.195386278657765,-130.7455923865626,-5.423124552903506,5.848087741045315,25.906829985928542,-28.194849186761,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-09-16,NYY,TOR,98.5,2549.0,swinging_strike,3,-2.07,5.45,-0.8,1.5,0.53,3.01,6.5,8.956520335719242,-143.09861977826705,-4.608790522891026,-13.220711057059669,36.18124380544545,-10.775932978301237,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-16,NYY,TOR,89.7,1745.0,called_strikeout,2,-2.03,5.41,-1.29,0.85,0.26,2.84,6.8,8.471695273935756,-130.47031662091914,-2.203838727442688,-16.478695914274095,26.52372002434033,-22.194089655389902,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,90.7,1776.0,ball,14,-2.03,5.38,-1.34,0.81,0.21,0.77,6.7,8.510607960279827,-131.6512646575582,-7.331340299418125,-17.39546928499151,28.422109076868804,-21.37941454810696,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,97.1,2530.0,ball,11,-2.17,5.59,-0.74,1.47,-0.05,3.9,6.5,7.403601320765327,-141.16059320116108,-2.311710831781291,-11.666650133669735,33.734394254496706,-12.290545454646834,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,85.9,2861.0,ball,14,-1.98,5.63,0.67,-0.84,0.77,-0.82,6.5,5.178194685762551,-124.88619349105429,-7.343085551592579,6.042661829255543,24.66287048081932,-39.67748174253372,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,96.2,2619.0,swinging_strike,11,-2.09,5.58,-0.77,1.63,-0.39,3.82,6.5,6.265715461689112,-139.93744045982348,-2.778496883203365,-11.510682441550207,32.85977002392054,-10.374254404525738,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-16,NYY,TOR,96.7,2585.0,swinging_strike,4,-2.06,5.59,-0.93,1.7,-0.43,2.58,6.5,6.489960763083231,-140.46265486170068,-6.27804601212458,-13.79324119884439,35.41778662589332,-8.531902184497465,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-16,NYY,TOR,99.1,2593.0,strikeout,2,-1.81,5.66,-0.86,1.47,-0.11,3.06,6.5,6.694419667765189,-144.12333636981543,-5.0849922766676015,-13.615924338567345,36.26146669426347,-10.778416157579343,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-09-16,NYY,TOR,97.4,2483.0,ball,14,-1.81,5.58,-0.82,1.34,1.29,1.79,6.8,10.302771822551806,-141.2258844255445,-7.708079915988026,-13.478818732569447,34.1874529911957,-12.6311040321194,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,88.9,2609.0,ball,14,-1.93,5.56,0.6,0.37,0.93,0.88,6.5,5.778625254804683,-129.39358159317476,-6.283079997147976,5.648269355786561,24.555142453803896,-26.98623676954909,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,98.0,2602.0,called_strike,6,-1.81,5.59,-0.81,1.63,0.77,2.65,6.6,8.848413669848366,-142.2783468771949,-6.184291432490147,-13.148968545633473,35.293861901299536,-8.795218889108277,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,87.9,2562.0,called_strike,8,-1.98,5.63,0.56,0.17,0.08,1.94,6.5,3.854170377692919,-128.08954263624187,-3.289136875649681,5.526399004431433,23.467376095761317,-29.827695480429067,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,89.0,2732.0,ball,14,-1.91,5.62,0.54,0.28,1.41,0.41,6.4,7.034993883383906,-129.4344511142293,-7.37920611270326,4.728603272390439,25.016185332063102,-27.786123687400103,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,96.0,2468.0,single,11,-2.08,5.49,-0.76,1.57,-0.95,2.8,6.6,4.734515435191539,-139.75995134608743,-5.105820668605306,-11.070417031069312,31.752658013270768,-10.664042287427415,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-09-16,NYY,TOR,84.3,2836.0,single,9,-1.89,5.72,0.95,-0.74,0.73,1.81,6.4,4.204866661993004,-122.70718754848072,-1.1783998458432448,8.632121175586715,27.01468639759778,-39.52976467302015,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2020-09-16,NYY,TOR,84.6,2799.0,ball,14,-1.83,5.72,1.05,-0.81,1.55,0.14,6.3,5.788260058293669,-123.02405706681893,-4.998188501312353,9.36109004286541,26.05807892042202,-39.53859442043191,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,96.2,2448.0,swinging_strike,11,-1.87,5.66,-0.95,1.64,-0.4,3.63,6.6,6.101661837852742,-139.90326005834302,-3.486814746230329,-13.94877865699861,33.874129832153066,-10.11166395191887,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-16,NYY,TOR,97.4,2517.0,swinging_strike,5,-1.86,5.66,-1.0,1.65,-0.24,2.88,6.4,6.660507472743147,-141.48688875606143,-5.661672912572179,-15.05270356880784,36.58872354146335,-8.988258018219435,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-16,NYY,TOR,98.0,2651.0,field_out,2,-2.14,5.54,-1.14,1.46,-0.13,3.38,6.6,8.119199593486917,-142.39573255443983,-3.691635005047124,-17.394294327632494,33.43996686364253,-11.661277515593444,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-09-16,NYY,TOR,89.4,1700.0,swinging_strike,7,-2.04,5.51,-1.46,1.11,-0.42,1.8,6.6,7.130570875240018,-129.9108790109792,-5.492106592435692,-18.03959740120604,26.530820189894417,-18.61897452159393,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-16,NYY,TOR,97.6,2560.0,swinging_strike,5,-2.13,5.55,-1.01,1.6,0.12,2.51,6.7,8.425644789660618,-141.7652996409963,-6.387936627793642,-15.567197454888738,32.95329133065179,-9.23608752779721,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-16,NYY,TOR,88.4,2627.0,field_out,6,-2.03,5.58,0.5,0.43,0.45,2.32,6.4,5.020897168036423,-128.85811803998504,-2.845705903257605,4.685116605829427,23.561682420729216,-27.04875313417225,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2020-09-16,NYY,TOR,90.6,2672.0,ball,14,-2.03,5.5,0.32,0.42,1.95,-0.96,6.7,9.310482014490146,-131.3019817628261,-11.139415107734076,1.7818415210211058,26.848866356574884,-25.083968157500017,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,99.2,2704.0,walk,11,-2.03,5.52,-1.24,1.41,-1.43,2.57,6.6,4.55689737498278,-144.22710812762335,-5.8876482643221,-18.3169580463215,37.309024087688485,-11.370392671807382,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-09-16,NYY,TOR,99.4,2682.0,ball,14,-2.02,5.44,-1.16,1.64,0.85,2.2,6.7,10.66314548012494,-144.0999444075455,-7.29155582167242,-18.82919893654639,36.92299516130964,-7.752713451108422,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,99.3,2610.0,ball,11,-2.28,5.44,-1.1,1.36,-0.25,4.4,6.4,8.162633549775999,-144.38853228572617,-0.5622977046183055,-17.36486455108922,36.46705444135942,-13.372696917323973,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,90.4,2657.0,ball,14,-2.08,5.47,0.44,0.18,1.29,-0.94,6.4,7.490842862171265,-131.3166800671852,-10.448625123930364,3.648630553283344,24.98102903585913,-28.24653628008202,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,89.8,1710.0,swinging_strike,13,-2.16,5.42,-1.34,0.79,-0.88,1.88,6.5,6.047222454589045,-130.55587815523194,-4.462148276846548,-16.61417374582445,27.81571624819765,-22.368777552673134,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-16,NYY,TOR,97.5,2627.0,swinging_strike,11,-2.01,5.62,-1.16,1.59,-0.84,3.21,6.5,5.813946420767996,-141.7656478619712,-4.612477115989204,-16.915720629084802,33.907966195063416,-9.881496864342562,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-16,NYY,TOR,95.7,2430.0,field_out,5,-1.96,5.57,-0.97,1.49,-0.16,2.48,6.7,6.979439759941234,-139.1334505094054,-5.935029864899852,-14.141702609994963,31.31731666557686,-11.686076394700857,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-09-16,NYY,TOR,90.2,1676.0,double,9,-1.91,5.57,-1.21,1.0,0.41,2.14,6.6,8.38180808033458,-131.07462747479877,-4.657547153654118,-15.753419972012884,29.510555385863427,-19.838650674523787,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,96.2,2449.0,field_out,9,-1.96,5.51,-0.88,1.5,0.3,2.11,6.5,8.01039402555234,-139.64785013259873,-6.794297240993399,-13.377931125133188,33.13118844547692,-11.200931861808971,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-09-16,NYY,TOR,89.5,1732.0,ball,13,-2.07,5.47,-1.45,1.0,-1.19,1.72,6.6,5.263066862084769,-130.1187705450745,-5.387032866904837,-17.586496979289556,27.93442651832831,-19.83557893586189,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
